Corrente do Motor;Taxa da Balanca
69,1;9826,384
68,4;9826,384
68,4;10509,5
70,1;10509,5
70,1;10973,92
67;10973,92
67;11193,38
67,6;11193,38
67,6;11389,35
67,6;11389,35
73,4;11389,35
73,4;11311,27
71,7;11311,27
71,7;11022,66
66,7;11022,66
66,7;10856,28
58,4;10856,28
58,4;10321,68
58,4;10321,68
57,8;10321,68
57,8;9676,593
55,6;9676,593
55,6;9142,249
58,8;9142,249
58,8;9089,427
61;9089,427
61;9759,527
61;9759,527
63,2;9759,527
63,2;10870,06
82,3;10870,06
82,3;11174,49
74,9;11174,49
74,9;11399,56
64,5;11399,56
64,5;9269,327
64,5;9269,327
43,1;9269,327
43,1;7497,622
43,2;7497,622
43,2;7473,125
52,7;7473,125
52,7;8729,88
59,4;8729,88
59,4;10551,09
87,9;10551,09
87,9;10551,09
87,9;11783,61
84;11783,61
84;12151,32
72,2;12151,32
72,2;11437,07
56,6;11437,07
56,6;9492,609
46,6;9492,609
46,6;8019,462
46,6;8019,462
41,7;8019,462
41,7;7710,695
52,8;7710,695
52,8;7834,457
53,7;7834,457
53,7;7757,138
50,6;7757,138
50,6;7495,325
50,6;7495,325
48,8;7495,325
48,8;7243,208
46,6;7243,208
46,6;6423,574
42,9;6423,574
42,9;5279,353
35,9;5279,353
35,9;4090,985
31;4090,985
31;4090,985
31;3193,266
29,3;3193,266
29,3;2386,135
28,5;2386,135
28,5;1834,693
28,7;1834,693
28,7;1834,693
28,7;1243,699
28,7;1243,699
28,7;739,4659
28,6;739,4659
28,6;761,6664
30,5;761,6664
30,5;2089,617
39,9;2089,617
39,9;4075,418
50,1;4075,418
50,1;4075,418
50,1;5860,395
58,3;5860,395
58,3;7543,554
68,1;7543,554
68,1;9176,443
79,8;9176,443
79,8;10721,81
84,7;10721,81
84,7;11921,15
84,7;11921,15
86,7;11921,15
86,7;12465,44
76,8;12465,44
76,8;11993,87
75;11993,87
75;11161,99
69,9;11161,99
69,9;11161,99
69,9;10549,82
59,7;10549,82
59,7;10868,53
51,8;10868,53
51,8;10906,55
53,7;10906,55
53,7;10339,55
54,4;10339,55
54,4;10156,07
54,4;10156,07
61,6;10156,07
61,6;10937,18
81,2;10937,18
81,2;11571,04
78,5;11571,04
78,5;11231,4
69;11231,4
69;10635,56
69;10635,56
58,7;10635,56
58,7;10508,48
71,3;10508,48
71,3;10451,32
61,8;10451,32
61,8;9757,484
53,7;9757,484
53,7;9757,484
53,7;8125,362
44;8125,362
44;7070,707
42,4;7070,707
42,4;7219,732
46,8;7219,732
46,8;8010,531
62,2;8010,531
62,2;8607,649
64,1;8607,649
64,1;8875,843
64,1;8875,843
58,5;8875,843
58,5;8573,201
51,6;8573,201
51,6;7976,592
47,9;7976,592
47,9;7611,432
46,6;7611,432
46,6;7270,257
46,6;7270,257
49,5;7270,257
49,5;7044,934
48,5;7044,934
48,5;6502,679
43,5;6502,679
43,5;5518,965
43,5;5518,965
36,7;5518,965
36,7;4985,642
31,9;4985,642
31,9;4098,384
33,5;4098,384
33,5;3487,231
33,1;3487,231
33,1;2520,614
30,6;2520,614
30,6;1335,819
30,6;1335,819
28,4;1335,819
28,4;1219,713
27,9;1219,713
27,9;2000,305
29,9;2000,305
29,9;3320,855
34,6;3320,855
34,6;4911,384
34,6;4911,384
44,6;4911,384
44,6;6614,958
56,7;6614,958
56,7;7671,909
55,8;7671,909
55,8;8635,975
61,9;8635,975
61,9;9525,018
61,9;9525,018
67,9;9525,018
67,9;10456,68
69;10456,68
69;10973,41
72,9;10973,41
72,9;11041,29
67,2;11041,29
67,2;11107,89
67,2;11107,89
69,8;11107,89
69,8;11341,89
67;11341,89
67;11319,69
61,4;11319,69
61,4;10913,7
60,7;10913,7
60,7;10361,24
60,5;10361,24
60,5;10361,24
60,5;10038,95
60;10038,95
60;10326,79
78;10326,79
78;10987,7
70,1;10987,7
70,1;11129,07
70,1;11129,07
60,9;11129,07
60,9;10554,67
50,8;10554,67
50,8;9686,29
69,1;9686,29
69,1;9900,896
68,4;9900,896
68,4;10493,17
70,1;10493,17
70,1;10323,22
70,1;10323,22
55,1;10323,22
55,1;8759,48
49,2;8759,48
49,2;6758,624
42,9;6758,624
42,9;6334,516
51,2;6334,516
51,2;7345,28
51,2;7345,28
67,3;7345,28
67,3;9044,516
78,5;9044,516
78,5;10876,95
86,9;10876,95
86,9;11842,04
70,4;11842,04
70,4;11842,04
70,4;11480,96
54,1;11480,96
54,1;10251,77
49,9;10251,77
49,9;8988,887
50;8449,184
50;8250,398
51,4;8250,398
51,4;8250,398
51,8;8293,524
51,8;8293,524
51,8;8403,251
56,2;8403,251
56,2;8491,799
59,4;8491,799
