Corrente do Motor;Taxa da Balanca
36,3;5004,014
36,3;5004,014
36,3;5019,07
39;5019,07
39;5482,474
42,2;5482,474
42,2;6116,338
45,3;6116,338
45,3;6976,546
46,9;6976,546
46,9;6976,546
53,9;7564,733
53,9;7564,733
53,9;7520,077
54;7520,077
54;7100,053
50,5;7100,053
50,5;6832,115
44,7;6832,115
44,7;6832,115
43,8;6664,973
43,8;6664,973
43,8;6556,267
43,2;6556,267
43,2;6505,997
45,4;6505,997
45,4;6471,803
46,7;6471,803
46,7;6471,803
46,5;6428,423
46,5;6428,423
46,5;6478,182
44,4;6478,182
44,4;6731,83
45,7;6731,83
45,7;7138,33
46,1;7138,33
46,1;7138,33
51,1;7468,786
51,1;7468,786
51,1;7608,37
56,3;7608,37
56,3;7560,396
52,5;7560,396
52,5;7218,966
46,5;7218,966
46,5;7218,966
42,1;6713,202
42,1;6713,202
42,1;6336,813
40,5;6336,813
40,5;6296,24
43,4;6296,24
43,4;6573,109
46,8;6573,109
46,8;6573,109
48,5;6966,85
48,5;6966,85
48,5;7210,801
50,5;7210,801
50,5;7254,182
49,7;7254,182
49,7;7107,708
48;7107,708
48;7107,708
46,6;6872,434
46,6;6872,434
46,6;6790,011
46,2;6790,011
46,2;6830,074
46,6;6830,074
46,6;6811,956
47,8;6811,956
47,8;6811,956
46,9;6829,308
46,9;6829,308
46,9;6704,016
46,8;6704,016
46,8;6532,025
47,7;6532,025
47,7;6497,831
44,4;6497,831
44,4;6497,831
46,5;6535,343
46,5;6535,343
46,5;6482,521
45,3;6482,521
45,3;6289,095
44,1;6289,095
44,1;6005,335
45,2;6005,335
45,2;6005,335
43,1;5804,766
43,1;5804,766
43,1;5923,168
41;5923,168
41;6921,428
42,9;6921,428
42,9;7707,889
53,6;7707,889
53,6;7707,889
65,8;7707,889
65,8;8047,787
65,8;7698,958
54,3;7698,958
54,3;7036,514
45,1;7036,514
45,1;6542,998
39,1;6542,998
39,1;6194,678
41,9;6194,678
41,9;6194,678
42,1;5734,846
42,1;5734,846
42,1;5233,42
40,5;5233,42
40,5;5056,07
38,6;5056,07
38,6;5282,415
38,7;5282,415
38,7;5282,415
42,1;5688,915
42,1;5688,915
42,1;6067,6
44,3;6067,6
44,3;6410,049
44,6;6410,049
44,6;6357,993
46,6;6357,993
46,6;6357,993
45,2;5992,577
45,2;5992,577
45,2;5849,932
39,4;5849,932
39,4;5723,363
39,7;5723,363
39,7;5779,758
42,3;5779,758
42,3;5779,758
44,2;5624,099
44,2;5624,099
38,7;5127,01
38,7;5127,01
38,7;4073,633
35;4073,633
35;2843,67
32;2843,67
32;1942,634
30,2;1942,634
30,2;1942,634
28,3;1283,252
28,3;1283,252
28,3;1371,544
28,2;1371,544
28,2;2556,594
29,1;2556,594
29,1;4049,901
37,4;4049,901
37,4;4049,901
42,4;4793,492
42,4;4793,492
42,4;4647,02
39,4;4647,02
39,4;3425,988
34,7;3425,988
34,7;2258,035
32,3;2258,035
32,3;2258,035
29,2;1762,988
29,2;1762,988
29,2;1922,475
28,7;1922,475
28,7;2127,638
29,3;2127,638
29,3;2829,381
30;2829,381
30;3733,224
35,7;3733,224
35,7;3733,224
39,6;4298,189
39,6;4298,189
39,6;4540,1
37,4;4540,1
37,4;4694,482
36,1;4694,482
36,1;4948,896
37,1;4948,896
37,1;4948,896
41;5465,888
41;5465,888
41;6106,897
53,3;6106,897
53,3;6867,585
57;6867,585
57;7338,645
55,4;7338,645
55,4;7338,645
51,5;7278,167
51,5;7278,167
51,5;6867,585
46,6;6867,585
46,6;6248,266
45,8;6248,266
45,8;6115,063
44,4;6115,063
44,4;6115,063
42,3;6160,485
42,3;6160,485
42,3;7285,568
60,7;7285,568
60,7;8037,325
74,1;8037,325
74,1;7943,674
87,3;7943,674
87,3;7943,674
84,9;7807,664
84,9;7807,664
84,9;7709,419
65,4;7709,419
65,4;7733,917
49,9;7733,917
49,9;7663,232
38,8;7663,232
38,8;7663,232
34;7800,774
34;7800,774
34;7205,442
34,6;7205,442
34,6;6689,215
39,8;6689,215
39,8;6663,187
42,2;6663,187
42,2;6663,187
49,2;6799,708
49,2;6799,708
49,2;6708,608
47,5;6708,608
47,5;6972,974
45,5;6972,974
45,5;7659,916
52,8;7659,916
52,8;7659,916
63,3;7982,972
63,3;7982,972
63,3;7751,014
57,3;7751,014
57,3;6996,195
49,7;6996,195
49,7;5804
36,8;5804
36,8;5804
39,6;5187,488
39,6;5187,488
39,6;5184,426
39,6;5184,426
41,5;5294,663
42,9;5294,663
42,9;5426,335
42,1;5426,335
42,1;5426,335
42,5;5522,793
42,5;5522,793
42,5;5734,846
43,8;5734,846
43,8;6593,523
48,1;6593,523
48,1;7575,961
66,9;7575,961
66,9;7575,961
58,9;8625,256
58,9;8625,256
58,9;9016,701
72,7;9016,701
72,7;9116,221
56;9116,221
56;9209,361
45,8;9209,361
45,8;8947,548
65;8947,548
65;8947,548
54,9;7691,303
54,9;7691,303
54,9;5762,916
40;5762,916
40;3711,023
32,6;3711,023
32,6;2973,046
29,8;2973,046
29,8;2973,046
33,4;3550,26
33,4;3550,26
33,4;4493,401
38,6;4493,401
38,6;5684,321
47,1;5684,321
47,1;6494,003
50,1;6494,003
50,1;6494,003
54,5;7125,826
54,5;7125,826
54,5;7403,206
51,5;7403,206
51,5;7890,342
48,8;7890,342
48,8;7706,868
56,3;7706,868
56,3;7311,852
46;7311,852
46;7311,852
42;6513,907
42;6513,907
42;6086,738
38,8;6086,738
38,8;6731,065
42,2;6731,065
42,2;7808,684
58,9;7808,684
58,9;7808,684
59;8433,873
59;8433,873
59;8309,855
48,3;8309,855
48,3;7039,066
38,9;7039,066
38,9;4875,149
30,9;4875,149
30,9;4875,149
35,3;4398,22
35,3;4398,22
35,3;4911,64
39,3;4911,64
39,3;6379,173
